Name,                          Country, Medal,     Time, Year
Usain Bolt,"                  ""JAM""","   ""GOLD""",    9.63, 2012
Usain Bolt,"                  ""JAM""","   ""GOLD""",    9.69, 2008
Donovan Bailey,"              ""CAN""","   ""GOLD""",    9.84, 1996
Justin Gatlin,"               ""USA""","   ""GOLD""",    9.85, 2004
Maurice Greene,"              ""USA""","   ""GOLD""",    9.87, 2000
Carl Lewis,"                  ""USA""","   ""GOLD""",    9.92, 1988
Jim Hines,"                   ""USA""","   ""GOLD""",    9.95, 1968
Linford Christie,"            ""GBR""","   ""GOLD""",    9.96, 1992
Carl Lewis,"                  ""USA""","   ""GOLD""",    9.99, 1984
Bob Hayes,"                   ""USA""","   ""GOLD""",   10.00, 1964
Hasely Crawford,"             ""TRI""","   ""GOLD""",   10.06, 1976
Valery Borzov,"               ""URS""","   ""GOLD""",   10.14, 1972
Armin Hary,"                  ""EUA""","   ""GOLD""",   10.20, 1960
Allan Wells,"                 ""GBR""","   ""GOLD""",   10.25, 1980
W. Harrison Dillard,"         ""USA""","   ""GOLD""",   10.30, 1948
Jesse Owens,"                 ""USA""","   ""GOLD""",   10.30, 1936
"T. \Eddie\"" Tolan""","          ""USA""","   ""GOLD""",   10.30, 1932
Lindy Remigino,"              ""USA""","   ""GOLD""",   10.40, 1952
Bobby Joe Morrow,"            ""USA""","   ""GOLD""",   10.50, 1956
Harold Abrahams,"             ""GBR""","   ""GOLD""",   10.60, 1924
Percy Williams,"              ""CAN""","   ""GOLD""",   10.80, 1928
Charles Paddock,"             ""USA""","   ""GOLD""",   10.80, 1920
Ralph Craig,"                 ""USA""","   ""GOLD""",   10.80, 1912
Reginald Walker,"             ""RSA""","   ""GOLD""",   10.80, 1908
"Charles \Archie\"" Hahn""","     ""USA""","   ""GOLD""",   11.00, 1904
Frank Jarvis,"                ""USA""","   ""GOLD""",   11.00, 1900
"Charles \Archie\"" Hahn""","     ""USA""","   ""GOLD""",   11.20, 1906
Thomas Burke,"                ""USA""","   ""GOLD""",   12.00, 1896
Yohan Blake,"                 ""JAM""","   ""SILVER""",  9.75, 2012
Justin Gatlin,"               ""USA""","   ""BRONZE""",  9.79, 2012
Francis Obikwelu,"            ""POR""","   ""SILVER""",  9.86, 2004
Maurice Greene,"              ""USA""","   ""BRONZE""",  9.87, 2004
Richard Thompson,"            ""TRI""","   ""SILVER""",  9.89, 2008
Frankie Fredericks,"          ""NAM""","   ""SILVER""",  9.89, 1996
Ato Boldon,"                  ""TRI""","   ""BRONZE""",  9.90, 1996
Walter Dix,"                  ""USA""","   ""BRONZE""",  9.91, 2008
Linford Christie,"            ""GBR""","   ""SILVER""",  9.97, 1988
Ato Boldon,"                  ""TRI""","   ""SILVER""",  9.99, 2000
Calvin Smith,"                ""USA""","   ""BRONZE""",  9.99, 1988
Frankie Fredericks,"          ""NAM""","   ""SILVER""", 10.02, 1992
Obadele Thompson,"            ""BAR""","   ""BRONZE""", 10.04, 2000
Dennis Mitchell,"             ""USA""","   ""BRONZE""", 10.04, 1992
Lennox Miller,"               ""JAM""","   ""SILVER""", 10.04, 1968
Charles Greene,"              ""USA""","   ""BRONZE""", 10.07, 1968
Donald Quarrie,"              ""JAM""","   ""SILVER""", 10.08, 1976
Valery Borzov,"               ""URS""","   ""BRONZE""", 10.14, 1976
Sam Graddy,"                  ""USA""","   ""SILVER""", 10.19, 1984
Enrique Figuerola Camue,"     ""CUB""","   ""SILVER""", 10.20, 1964
Harry Jerome,"                ""CAN""","   ""BRONZE""", 10.20, 1964
David Sime,"                  ""USA""","   ""SILVER""", 10.20, 1960
Ben Johnson,"                 ""CAN""","   ""BRONZE""", 10.22, 1984
Robert Taylor,"               ""USA""","   ""SILVER""", 10.24, 1972
Silvio Leonard Tartabull,"    ""CUB""","   ""SILVER""", 10.25, 1980
Peter Radford,"               ""GBR""","   ""BRONZE""", 10.30, 1960
Ralph Metcalfe,"              ""USA""","   ""SILVER""", 10.30, 1932
Lennox Miller,"               ""JAM""","   ""BRONZE""", 10.33, 1972
Petar Petrov,"                ""BUL""","   ""BRONZE""", 10.39, 1980
Herbert McKenley,"            ""JAM""","   ""SILVER""", 10.40, 1952
E. McDonald Bailey,"          ""GBR""","   ""BRONZE""", 10.40, 1952
"H. Norwood \Barney\"" Ewell"""," ""USA""","   ""SILVER""", 10.40, 1948
Lloyd LaBeach,"               ""PAN""","   ""BRONZE""", 10.40, 1948
Ralph Metcalfe,"              ""USA""","   ""SILVER""", 10.40, 1936
Arthur Jonath,"               ""GER""","   ""BRONZE""", 10.40, 1932
W. Thane Baker,"              ""USA""","   ""SILVER""", 10.50, 1956
Martinus Osendarp,"           ""NED""","   ""BRONZE""", 10.50, 1936
Hector Hogan,"                ""AUS""","   ""BRONZE""", 10.60, 1956
Jackson Scholz,"              ""USA""","   ""SILVER""", 10.80, 1924
"John \Jack\"" London""","        ""GBR""","   ""SILVER""", 10.90, 1928
Georg Lammers,"               ""GER""","   ""BRONZE""", 10.90, 1928
Arthur Porritt,"              ""NZL""","   ""BRONZE""", 10.90, 1924
Morris Kirksey,"              ""USA""","   ""SILVER""", 10.90, 1920
Harry Edward,"                ""GBR""","   ""BRONZE""", 10.90, 1920
Alvah Meyer,"                 ""USA""","   ""SILVER""", 10.90, 1912
Donald Lippincott,"           ""USA""","   ""BRONZE""", 10.90, 1912
James Rector,"                ""USA""","   ""SILVER""", 11.00, 1908
Robert Kerr,"                 ""CAN""","   ""BRONZE""", 11.00, 1908
J. Walter Tewksbury,"         ""USA""","   ""SILVER""", 11.10, 1900
Nathaniel Cartmell,"          ""USA""","   ""SILVER""", 11.20, 1904
Bill Hogenson,"               ""USA""","   ""BRONZE""", 11.20, 1904
Stanley Rowley,"              ""AUS""","   ""BRONZE""", 11.20, 1900
Fay Moulton,"                 ""USA""","   ""SILVER""", 11.30, 1906
Nigel Barker,"                ""AUS""","   ""BRONZE""", 11.30, 1906
Fritz Hofmann,"               ""GER""","   ""SILVER""", 12.20, 1896
Alojz Sokol,"                 ""HUN""","   ""BRONZE""", 12.60, 1896
Francis Lane,"                ""USA""","   ""BRONZE""", 12.60, 1896
